,Start Price,End Price,6M Return (%),6M High,6M Low,Avg Daily Volume,Annualized Volatility (%),Market Cap,P/E Ratio,EPS (TTM)
AAPL,239.23,263.75,10.25,285.92,226.36,49723307.0,22.73,3876577869824.0,33.34387,7.91
GOOGL,234.64,303.58,29.38,343.69,233.89,35697914.0,26.68,3672407277568.0,28.083254,10.81
