Date,AAPL,GOOGL,MSFT
2025-09-04,0.005493363876168944,0.007109978471034006,0.005184547565648234
2025-09-05,-0.00037540658420298634,0.011622933139023406,-0.025533004123011738
2025-09-08,-0.007551389041256629,-0.003194417167301622,0.006464623177218298
2025-09-09,-0.014839416284502027,0.02388482164590222,0.00042153075513740035
2025-09-10,-0.03225946602106422,-0.0019196354100891044,0.003932485859952983
2025-09-11,0.014286365271970913,0.005017364978125993,0.0012790734278176341
2025-09-12,0.01756300955560164,0.0017889050156991715,0.01774414523211698
2025-09-15,0.01123583763910907,0.04489202259397507,0.010707959006712509
2025-09-16,0.006125935389198034,-0.0017884869068218734,-0.012263262823754228
2025-09-17,0.003527220020250743,-0.006489896020867025,0.0019251529153794245
2025-09-18,-0.004644573125239804,0.010018841661267652,-0.003078267683711111
2025-09-19,0.03203293872010393,0.010673356823034386,0.018644826284158533
2025-09-22,0.04309567281585802,-0.008597674509774333,-0.006719030452662422
2025-09-23,-0.006443258425658294,-0.00344513219309428,-0.010146662244378102
2025-09-24,-0.008332350414175016,-0.017960735247747994,0.0018065456770510746
2025-09-25,0.018072966979806315,-0.005462566986984996,-0.006115801241625585
2025-09-26,-0.005489100657377954,0.0030513935556579774,0.008737149193587035
2025-09-29,-0.004031962461707783,-0.010099721410273599,0.0061392016521393256
2025-09-30,0.0007861150085717306,-0.0038926134690757674,0.006510017339799168
2025-10-01,0.0032203416899190263,0.007404316759317631,0.003398079103759999
2025-10-02,0.00657662791005964,0.003225831591515238,-0.007638978318490808
2025-10-03,0.003461279462880995,-0.0013838778970748367,0.003121608690878075
2025-10-06,-0.005154576259537191,0.020705099159256113,0.02168765904212222
2025-10-07,-0.0008181444267610916,-0.018647922147380647,-0.008683906700529431
2025-10-08,0.006160270999708617,-0.004638659300595149,0.001660362669058335
2025-10-09,-0.015577801150541859,-0.012631845440750467,-0.004667933745094888
2025-10-10,-0.034522045132806656,-0.020535746515027986,-0.02189895346520787
2025-10-13,0.009744359001401026,0.03204124613867676,0.006047390990968848
2025-10-14,0.0004441421356069508,0.005324588786037365,-0.0009337311959395356
2025-10-15,0.006336473629484196,0.022733764902369558,-0.00027263008733469096
2025-10-16,-0.007579986804138628,0.0017129390949852663,-0.0035447995371724605
2025-10-17,0.019559457191237417,0.007317302723738317,0.0038507309847994886
2025-10-20,0.0394388237214669,0.012830588752420269,0.006250022375636322
2025-10-21,0.002021049273656983,-0.02373804253829992,0.0016835817454483593
2025-10-22,-0.016440179021178225,0.004910988972602448,0.005563554532507453
2025-10-23,0.004372053262009956,0.00552263671369535,3.838360290164822e-05
2025-10-24,0.012481779466614773,0.027027134645899675,0.00585904386582925
2025-10-27,0.02279127405766279,0.03597242410613788,0.015106808844357555
2025-10-28,0.0007068103233436318,-0.006684644958969366,0.01984868712814336
2025-10-29,0.0026022346664624774,0.026545064534484908,-0.0009593535958009047
2025-10-30,0.006303229091240592,0.025166637397401326,-0.02915704505607286
2025-10-31,-0.003795042898427692,-0.0010303218613968435,-0.01512103683912347
2025-11-03,-0.004882257880291285,0.008997491423500703,-0.0015062732980567484
2025-11-04,0.003679658451690937,-0.021782052468770408,-0.005222061797499733
2025-11-05,0.0003703646251622672,0.02439284166801814,-0.013940547578869977
2025-11-06,-0.0013697625428008564,0.0015476607326603276,-0.019835950877711617
2025-11-07,-0.0048188791892468386,-0.020790299711869298,-0.0005632641778654524
2025-11-10,0.004548721603090611,0.040419011496126034,0.01847748335053323
2025-11-11,0.02160110352909128,0.004170937378253692,0.005296468707956636
2025-11-12,-0.0064667915516215535,-0.015790710658504348,0.0048360784124728
2025-11-13,-0.0019014401037990014,-0.028391039850579003,-0.015357852274828332
2025-11-14,-0.00197847614027602,-0.007753928185205039,0.013689885573804128
2025-11-17,-0.01817114312581336,0.031149374212974257,-0.005272655280872285
2025-11-18,-7.469218596389826e-05,-0.0025962588244621276,-0.02699551289518043
2025-11-19,0.004187757744410714,0.03000559231847899,-0.013507861045262248
2025-11-20,-0.00860139398019577,-0.011474964973761326,-0.016001286373730217
2025-11-21,0.01968065895668869,0.03527373218836982,-0.01318895836861611
2025-11-24,0.016317525903571717,0.06313819444727531,0.003982067479795237
2025-11-25,0.0038054245067611348,0.015255255140113944,0.006307939090366643
2025-11-26,0.002094015298321983,-0.010790201324564874,0.01784106796189966
2025-11-28,0.0046838874009274,0.0007187941819570831,0.013408926747197292
2025-12-01,0.01524118957389331,-0.01652191744239284,-0.01071121950431042
2025-12-02,0.010914820528252767,0.002921572280305318,0.006697657758429676
2025-12-03,-0.007128107299873898,0.012095983860288984,-0.02504083083412756
2025-12-04,-0.012141483369261685,-0.0062885564724237675,0.006509927133071081
2025-12-05,-0.006840070477014848,0.011491621597949253,0.004824912832363637
2025-12-08,-0.0031924534677664207,-0.022861666273624293,0.01626790556904023
2025-12-09,-0.0025550193698475887,0.010710140693894532,0.0020365533068591457
2025-12-10,0.005772445948890148,0.009871341665706579,-0.027356619467261645
2025-12-11,-0.0026902907054526803,-0.024296552221695134,0.010259979343901993
2025-12-12,0.0008992558753764257,-0.010050200699258216,-0.010217781958397731
2025-12-15,-0.014985035929685031,-0.003459559942633361,-0.007752945826024926
2025-12-16,0.0018241206270945831,-0.005353299234149622,0.003306541643073313
2025-12-17,-0.010086976563313366,-0.03212971219685745,-0.0005668130933824678
2025-12-18,0.0012875132341483297,0.019344803891752305,0.01650851077648796
2025-12-19,0.005437456457254575,0.015539285656990032,0.004008420178750471
2025-12-22,-0.0098660198257976,0.008529740480370585,-0.0020579280335145667
